julian_day,temperature
2443145,1360.9688 
2443146,1360.9486 
2443147,1360.8995 
2443148,1360.9321 
2443149,1361.0089 
2443150,1361.0215 
2443151,1361.0165 
2443152,1361.0065 
2443153,1360.9966 
2443154,1361.0064 
2443155,1361.0108 
2443156,1360.9742 
2443157,1360.8020 
2443158,1360.8560 
2443159,1360.8774 
2443160,1360.9562 
2443161,1360.9664 
2443162,1360.8712 
2443163,1361.0092 
2443164,1361.0681 
2443165,1361.0602 
2443166,1361.0502 
2443167,1360.9477 
2443168,1360.9957 
2443169,1361.0089 
2443170,1361.0304 
2443171,1361.0669 
2443172,1361.0302 
2443173,1361.0588 
2443174,1361.0951 
2443175,1361.0913 
2443176,1361.0760 
2443177,1361.0779 
2443178,1361.0412 
2443179,1361.0430 
2443180,1361.0772 
2443181,1361.0278 
2443182,1361.1791 
2443183,1361.0945 
2443184,1361.0235 
2443185,1361.0214 
2443186,1360.9400 
2443187,1360.8589 
2443188,1360.7946 
2443189,1360.8869 
2443190,1360.9051 
2443191,1360.9319 
2443192,1360.9407 
2443193,1360.9646 
2443194,1361.0505 
2443195,1361.0681 
2443196,1361.0486 
2443197,1361.0433 
2443198,1361.0368 
2443199,1361.0389 
2443200,1361.0360 
2443201,1361.0473 
2443202,1361.0563 
2443203,1361.0564 
2443204,1361.0661 
2443205,1361.0270 
2443206,1361.0694 
2443207,1361.0757 
2443208,1361.0028 
2443209,1361.0349 
2443210,1361.0950 
2443211,1361.0698 
2443212,1361.0724 
2443213,1361.0793 
2443214,1361.1233 
2443215,1361.0919 
2443216,1361.1159 
2443217,1361.1109 
2443218,1361.1077 
2443219,1361.0962 
2443220,1361.0863 
2443221,1361.0866 
2443222,1360.9305 
2443223,1361.0878 
2443224,1361.0878 
2443225,1361.0796 
2443226,1361.0958 
2443227,1360.9173 
2443228,1361.1073 
2443229,1361.0977 
2443230,1361.0932 
2443231,1361.0980 
2443232,1361.0892 
2443233,1361.0929 
2443234,1361.0664 
2443235,1361.1048 
2443236,1361.1001 
2443237,1361.1113 
2443238,1361.1523 
2443239,1361.0750 
2443240,1361.1064 
2443241,1361.2051 
2443242,1361.2061 
2443243,1361.2457 
2443244,1361.1360 
2443245,1361.0703 
2443246,1361.1362 
2443247,1361.1092 
2443248,1361.0923 
2443249,1361.0562 
2443250,1360.9213 
2443251,1361.1231 
2443252,1361.0672 
2443253,1361.0664 
2443254,1361.0731 
2443255,1360.9837 
2443256,1361.1105 
2443257,1361.0964 
2443258,1361.1263 
2443259,1361.1458 
2443260,1361.1141 
2443261,1361.1027 
2443262,1361.1194 
2443263,1361.2391 
2443264,1361.1198 
2443265,1361.2154 
2443266,1361.1598 
2443267,1361.1372 
2443268,1361.0932 
2443269,1361.0862 
2443270,1361.1231 
2443271,1361.0816 
2443272,1361.1338 
2443273,1361.2143 
2443274,1361.1272 
2443275,1361.1192 
2443276,1361.2970 
2443277,1361.1603 
2443278,1361.1848 
2443279,1361.2278 
2443280,1361.2046 
2443281,1361.3100 
2443282,1361.3554 
2443283,1361.2631 
2443284,1361.2461 
2443285,1361.2512 
2443286,1361.2574 
2443287,1361.2613 
2443288,1361.1778 
2443289,1361.2240 
2443290,1361.2200 
2443291,1361.2308 
2443292,1361.1786 
2443293,1361.2491 
2443294,1361.2579 
2443295,1361.2203 
2443296,1361.1041 
2443297,1361.1886 
2443298,1361.1726 
2443299,1361.1423 
2443300,1361.1662 
2443301,1361.1424 
2443302,1361.0420 
2443303,1361.0585 
2443304,1361.1295 
2443305,1361.2009 
2443306,1361.1502 
2443307,1361.0986 
2443308,1361.0679 
2443309,1361.0250 
